original_word,encoded_word
errand,556056252260262550026
traveler,5250266252002655660622520526
efficiencies,220026225605262506526220506252660222565062
mutualism,25625622250262255656655265622503
injections,22056625262526226202625065625560622
valiant,5520226526606225055662504
dispositioned,5560566256506252260222226066250252255206222504
loseable,2565566556252252500222500562
enring,226056252625262556026
remagnetization,52260262266562250256255606622500522520222625065625523
precipices,22506662520026220056225060225505662
committedness,2200622220522225655625262562556506225205665523
becharm,2566026520026225000225504
organ,526252225500262263
erodible,2560562552602652055222506566
horizontalizing,22650665262522255602652026622552026556252225055265523
landrush,5502566220066225652265200266
practicably,255666655260265200062250002222505662504
ortholog,2265522222602655265662262066
bombycine,25600265262522250256222000262554
hydradenitis,220566625520625560266255602652660622560566
spy-fi,255602252200662522065
broadminded,556002625200265565522526606225065662564
object-point,556522252660262502026226656255006222526560
beatings,2200626226056252660622556566
masculinists,220526255606622250622250602252265622502566
trans-Atlantic,2250566255602655606625262526255002205625625060662
chosen,526602225650662205222
hippodromes,220566625650622526066222606652052225563
rhinocerine,252002652620662502062520522625655222203
plesiosaur,52506662565266250056222506222262062
bootmaking,22600265262522250252222565662505562
daffiness,22002662200662256052652665262504
beardos,2200626226656255600625253
pochade,2520066556552225000225504
canon,526602222660625264
ellipticities,2200262256556625025665565662255606622505662504
actor,520066222660225523
syrphids,2250622552506225560265556066
atonal,556606225505665262522
palynomorph,555606655006625205266222206225625262264
overweening,226552252265262506562522602625205222563
skerries,2250622256502225065625250626
emery-paper,520026225655625500262255002655556626564
made-to-order,5205262256006255605665200262626256225265602264
shrubs,225062252050662520626
abjads,220066255600262505026
wherewith,55565225565666250656222206262563
star-shell,55260225526566256006255560266205262
apostrophes,220066225200665502522555062222265665253
putout,552066625202622226566
rappen,522602625600625550666
xiphiidæ,52250662502002225060622056064
qualophile,25200625526562250606255025665505222
wine-bowl,55265222265662226252652005626564
sostenuto,22260225565222252062252265662563
after-image,256006222605262550566256656225560266564
September,56506222560562525006625265662563
stoble,252002255265665205522
Archeozoic,26000622556026226602252026662266562
thiazine,2520566526206625020625206662
candidiasis,220062225060622205226250056625020625563
sprytes,2250622252006655206262554
purau,252066625505625253
tapadera,2550566520066225200665560062
Poland,502006652625222505566
panoptic,2250066250606255652265505222
gazet,556022225600625254
El Monte,2060562556526602660662662562
Ursula,205056255260262520622
sketchiest,55206222205622256056225565665506022
pyrographic,225006625520625556026550522225005225253
honeyfugle,25650665562522226552625602625225062
depuration,52665662266562255606655202622550026
Syzran,562602225550625255626
lighted,5565566256506255602225504
embarkations,220026252625622266026250606255206262505022
securitized,552002225605625206622255656255206262504
tonsure,2520566520522225652262253
yo-yo,222206225022226564
bearings,2200626226056252660622556026
ruffianism,25260262250262250652652665262505062
actuosity,25066625560622255656622502622264
copyhold,5560022556252222260665552062
closeting,22600225262566250252255206222563
couthy,250662255025225520262
ninety-first,556522622056625205226250656252205662522065
Mission Hill,506256255620622556022555605255050655262522
acrophony,25066625266022222602655025225553
articulately,250666255260262520566556566225000225526562
ten-to,222656655602622562520
flegm,256652622655662563
cleeks,220062222025662560562
joviality,25026265565222255652655620622503
26-page,6520026622052665055625553
Langtry,2002266520066255652262263
lollygaggers,220526652052222565566226556622250622500522
sandpapers,22506225200662256552655002662550066
taildragger,525026625600622265062226556625005665253
Zech.,562202055065622203
shoup,555062225656662264
categoriser,520062225600622250266250656252002222264
detaching,22605665266562255656655060622203
hog-wallow,22656662262522556652205625622550522
flashier,5200226256556625060625556022
colbertine,25600225262522250256655606265200262
museologist,556526222502622556022226056222625225564
Mariana Islands,26052625560062522602625050625566062220522625060020503
wheezes,2250222256506652062622563
balancings,22006262260062526256625060622205526
galley-west,556022222006622565566226526625665652554
deprecated,55605662560562552066625500262200562
turbidimeter,525026625205625520626256002625620622506566
cheesecake,25600222202066250056222005622520022
frou-frous,22002262520626226252252502620265562
chloramphenicol,55660222262066220556625025225226026256006255025625553
abider,520066225600265565062
staff-captain,5226022255656625000625560226550022665055622203
burrata,2500026552026225500265253
argumenta,25000625520626526652225205622564
Gracchi,2006522555602622000622203
tsunami,2556566252602225505625264
monocarbonate,2565562556522225055265262522226602252000625253
metaphysic,22055622506562225026625066625556066
shortgown,52260222265666226252222200265523
disconcerting,2260566526206225560225560622520522225655262203
squiress,2250622225066225205625205662
sylvicultural,5526022255506252052662520226556566255660222523
announcements,2200662556522652625262565522252656225655262203
threepeat,55202662505066252002655002622563
semimalignant,5520622526656225055625262062226556225060625564
waylay,255622225000625522062
supermini,25560225226562255606625665625253
pitas,225066625050625523
emoluments,22002625565262526252225655662526562
assignation,526606222260222556022556566225005225264
unturn,522656252052262520266
nonabsorbed,556552625655225205526520066222660262253
mestiza,2505562520626225560225523
tipple,252056655620625550666
Jenkins,2605626526656225025262204
sueable,2520022552656252005622503
godhed,556052225655225506566
knapper,5205622256552655006625553
portioners,22506665205222252002652265662262062
Correggio,26660222502522222002622200262563
subarea,2550022252056252006262503
radiologist,552062622006622506566226506222625225564
ovicides,2205222252052655650622506022
sandland,5520022526606225055265566566
heaven-born,526206652002622266062525052625665655264
sconed,552002225600225262522
Jonathan,5662026250552255025265560662
rediscovers,225062652002622560566526566222260222203
paraboloidal,552606625000625520026250606222660265562522
nasopharyngitis,22052262506062552062225025222220066526206625066625253
cirques,2200622256506225206262553
compotation,526602222625222502562552066625055225523
larmoyant,55652665266062255002625022622264
horsehoof,52650662262522222602655560222563
weare,252052252002622503
databank,2206566526606225505665200062
thirded,5520566256506655650625253
upbrought,55202625556066226002625206262264
neurons,2205226526656222265625253
photopolymer,525066625650662562522255626655625222226066
two-spirit,55202662556522520522265025625550622
uncrushable,252056255625265200022255002655565622253
yacking,2225062526606225060222204
aldomet,5560662256556625665662264
detoxification,5266566226656225565665565222255506622050622506526
doobs,220026652055222264
uncooled,5520562256552655660222262522
Gromyko,2666522225602625022222564
coalpit,5560622250252255006625564
cinclus,2200622256566255625262203
cross-tolerance,25600222250026526252225500225250622656556255265662264
druidism,2566566225062625565625565062
pennoned,5520066256056252625262262526
cirrh,550602252056625253
virilely,2556226556206225200265562062
theosoph,5556566550566622665622205222
seventhly,25566225566562555652655602625264
idiopathetic,220506225065665565662256552255560665560662
falconing,22605265266062250256652660222264
stressor,5250622222656622506262200262
scortch,5556022220002255652225253
conspiring,22600225262522250252652506222556066
southernly,25566225562522522656252502662565066
woodchucks,22502222202522220552225602665506022
fertilize,25605265206262255602655265662504
craps,220062255506262503
avernal,5566062255052652665625253
sprints,2250622552066652260262504
epoxying,2260562522606625025222552666
indemnified,556506225655262506566526056225025625264
unfamed,5520562256552625665262503
braggartry,25066265250626556066252002222500522
pleurum,2526066256526652002622523
osculatrix,55022222556022520062255202622505566
IANAE,206500220000025664
delinquents,220026655602625262566256506225652262553
olive-sized,556552225655665202662255652622002626564
valanche,2520526550606222055665266062
snigger,5250622256552622650622263
compulsorily,250662255625222502562525066622265622205266
neckcloths,22052265506562556062222620225566022
chestfuls,22006225562066256026252200225523
can-buoy,2506622226606225652260205562
polybags,2250666226552225055665255062
grepped,5560522252002655002625553
downconverter,5200266256552255202225205226256002252652225264
basihyal,5566026250006225566225502062
spall,552602255260662503
panegyrist,55206662200662250252652002622506222
grass-work,22065225250626226606222206222526025
floundered,55605262565566520522225205625565526
superoinferior,5250622222656225560665200262252002652655225262062
commonsensical,5566022250552222055622502562220522252625262520022
polyphosphoric,2250066250252252052662222062555606655056662205222
colchic,2200022250252255025662203
fossilizable,256052655625225250022255002252026622502566
